team,player
CSK,MS Dhoni (c)
CSK,Noor Ahmad
CSK,Khaleel Ahmed
CSK,Vansh Bedi
CSK,Shivam Dube
CSK,Deepak Hooda
CSK,Ravindra Jadeja
CSK,Anshul Kamboj
CSK,Jamie Overton
CSK,Matheesha Pathirana
CSK,Shaik Rasheed
CSK,Rachin Ravindra
MI,Hardik Pandya (c)
MI,Trent Boult
MI,Jasprit Bumrah
MI,Deepak Chahar
MI,Naman Dhir
MI,Will Jacks
MI,Vignesh Puthur
MI,Ryan Rickelton
MI,Mitchell Santner
MI,Rohit Sharma
MI,Tilak Varma
MI,Suryakumar Yadav
DC,Axar Patel (c)
DC,Jake Fraser-McGurk
DC,Mukesh Kumar
DC,Karun Nair
DC,Abhishek Porel
DC,KL Rahul
DC,Ashutosh Sharma
DC,Mohit Sharma
DC,Mitchell Starc
DC,Tristan Stubbs
DC,Kuldeep Yadav
DC,Faf du Plessis
PBKS,Shreyas Iyer (c)
PBKS,Priyansh Arya
PBKS,Yuzvendra Chahal
PBKS,Josh Inglis
PBKS,Marco Jansen
PBKS,Glenn Maxwell
PBKS,Arshdeep Singh
PBKS,Prabhsimran Singh
PBKS,Shashank Singh
PBKS,Marcus Stoinis
PBKS,Nehal Wadhera
PBKS,Vijaykumar Vyshak
GT,Shubman Gill (c)
GT,Jos Buttler
GT,Rashid Khan
GT,Shahrukh Khan
GT,Sai Kishore
GT,Prasidh Krishna
GT,Sherfane Rutherford
GT,Ishant Sharma
GT,Mohammed Siraj
GT,Sai Sudharsan
GT,Washington Sundar
GT,Rahul Tewatia
RR,Sanju Samson (c)
RR,Jofra Archer
RR,Tushar Deshpande
RR,Shubham Dubey
RR,Wanindu Hasaranga
RR,Shimron Hetmyer
RR,Yashasvi Jaiswal
RR,Dhruv Jurel
RR,Akash Madhwal
RR,Nitish Rana
RR,Sandeep Sharma
RR,Maheesh Theekshana
KKR,Ajinkya Rahane (c)
KKR,Moeen Ali
KKR,Vaibhav Arora
KKR,Varun Chakravarthy
KKR,Quinton de Kock
KKR,Venkatesh Iyer
KKR,Sunil Narine
KKR,Anrich Nortje
KKR,Angkrish Raghuvanshi
KKR,Harshit Rana
KKR,Andre Russell
KKR,Rinku Singh
RCB,Rajat Patidar (c)
RCB,Virat Kohli
RCB,Tim David
RCB,Yash Dayal
RCB,Josh Hazlewood
RCB,Bhuvneshwar Kumar
RCB,Liam Livingstone
RCB,Devdutt Padikkal
RCB,Krunal Pandya
RCB,Phil Salt
RCB,Jitesh Sharma
RCB,Suyash Sharma
LSG,Rishabh Pant (c)
LSG,Ayush Badoni
LSG,Ravi Bishnoi
LSG,Shardul Thakur
LSG,Akash Deep
LSG,Avesh Khan
LSG,Mitchell Marsh
LSG,David Miller
LSG,Nicholas Pooran
LSG,Abdul Samad
LSG,Akash Singh
LSG,Mayank Yadav
SRH,Pat Cummins (c)
SRH,Travis Head
SRH,Ishan Kishan
SRH,Heinrich Klaasen
SRH,Harshal Patel
SRH,Nitish Kumar Reddy
SRH,Mohammad Shami
SRH,Abhishek Sharma
SRH,Simarjeet Singh
SRH,Atharva Taide
SRH,Jaydev Unadkat
SRH,R Smaran
